"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,211,"ZAF","South Africa",1,"Eastern Cape",1,"Aberdeen","Magisterial District","Magisterial District",NA,NA
2,211,"ZAF","South Africa",1,"Eastern Cape",2,"Adelaide","Magisterial District","Magisterial District",NA,NA
3,211,"ZAF","South Africa",1,"Eastern Cape",3,"Albany","Magisterial District","Magisterial District",NA,NA
4,211,"ZAF","South Africa",1,"Eastern Cape",4,"Albert","Magisterial District","Magisterial District",NA,NA
5,211,"ZAF","South Africa",1,"Eastern Cape",5,"Alexandria","Magisterial District","Magisterial District",NA,NA
6,211,"ZAF","South Africa",1,"Eastern Cape",6,"Aliwal North","Magisterial District","Magisterial District",NA,NA
7,211,"ZAF","South Africa",1,"Eastern Cape",7,"Barkly East","Magisterial District","Magisterial District",NA,NA
8,211,"ZAF","South Africa",1,"Eastern Cape",8,"Bathurst","Magisterial District","Magisterial District",NA,NA
9,211,"ZAF","South Africa",1,"Eastern Cape",9,"Bedford","Magisterial District","Magisterial District",NA,NA
10,211,"ZAF","South Africa",1,"Eastern Cape",10,"Bizana","Magisterial District","Magisterial District",NA,NA
11,211,"ZAF","South Africa",1,"Eastern Cape",11,"Butterworth","Magisterial District","Magisterial District",NA,NA
12,211,"ZAF","South Africa",1,"Eastern Cape",12,"Cala","Magisterial District","Magisterial District",NA,NA
13,211,"ZAF","South Africa",1,"Eastern Cape",13,"Cathcart","Magisterial District","Magisterial District",NA,NA
14,211,"ZAF","South Africa",1,"Eastern Cape",14,"Cofimvaba","Magisterial District","Magisterial District",NA,NA
15,211,"ZAF","South Africa",1,"Eastern Cape",15,"Cradock","Magisterial District","Magisterial District",NA,NA
16,211,"ZAF","South Africa",1,"Eastern Cape",16,"East London","Magisterial District","Magisterial District",NA,NA
17,211,"ZAF","South Africa",1,"Eastern Cape",17,"Elliotdale","Magisterial District","Magisterial District",NA,NA
18,211,"ZAF","South Africa",1,"Eastern Cape",18,"Elliot","Magisterial District","Magisterial District",NA,NA
19,211,"ZAF","South Africa",1,"Eastern Cape",19,"Engcobo","Magisterial District","Magisterial District",NA,NA
20,211,"ZAF","South Africa",1,"Eastern Cape",20,"Flagstaff","Magisterial District","Magisterial District",NA,NA
21,211,"ZAF","South Africa",1,"Eastern Cape",21,"Fort Beaufort","Magisterial District","Magisterial District",NA,NA
22,211,"ZAF","South Africa",1,"Eastern Cape",22,"Graaff-Reinet","Magisterial District","Magisterial District",NA,NA
23,211,"ZAF","South Africa",1,"Eastern Cape",23,"Hankey","Magisterial District","Magisterial District",NA,NA
24,211,"ZAF","South Africa",1,"Eastern Cape",24,"Hewu","Magisterial District","Magisterial District",NA,NA
25,211,"ZAF","South Africa",1,"Eastern Cape",25,"Hofmeyr","Magisterial District","Magisterial District",NA,NA
26,211,"ZAF","South Africa",1,"Eastern Cape",26,"Humansdorp","Magisterial District","Magisterial District",NA,NA
27,211,"ZAF","South Africa",1,"Eastern Cape",27,"Idutywa","Magisterial District","Magisterial District",NA,NA
28,211,"ZAF","South Africa",1,"Eastern Cape",28,"Indwe","Magisterial District","Magisterial District",NA,NA
29,211,"ZAF","South Africa",1,"Eastern Cape",29,"Jansenville","Magisterial District","Magisterial District",NA,NA
30,211,"ZAF","South Africa",1,"Eastern Cape",30,"Joubertina","Magisterial District","Magisterial District",NA,NA
31,211,"ZAF","South Africa",1,"Eastern Cape",31,"Keiskammahoek","Magisterial District","Magisterial District",NA,NA
32,211,"ZAF","South Africa",1,"Eastern Cape",32,"Kentani","Magisterial District","Magisterial District",NA,NA
33,211,"ZAF","South Africa",1,"Eastern Cape",33,"King William's  Town","Magisterial District","Magisterial District",NA,NA
34,211,"ZAF","South Africa",1,"Eastern Cape",34,"Kirkwood","Magisterial District","Magisterial District",NA,NA
35,211,"ZAF","South Africa",1,"Eastern Cape",35,"Komga","Magisterial District","Magisterial District",NA,NA
36,211,"ZAF","South Africa",1,"Eastern Cape",36,"Lady Frere","Magisterial District","Magisterial District",NA,NA
37,211,"ZAF","South Africa",1,"Eastern Cape",37,"Lady Grey","Magisterial District","Magisterial District",NA,NA
38,211,"ZAF","South Africa",1,"Eastern Cape",38,"Libode","Magisterial District","Magisterial District",NA,NA
39,211,"ZAF","South Africa",1,"Eastern Cape",39,"Lusikisiki","Magisterial District","Magisterial District",NA,NA
40,211,"ZAF","South Africa",1,"Eastern Cape",40,"Maclear","Magisterial District","Magisterial District",NA,NA
41,211,"ZAF","South Africa",1,"Eastern Cape",41,"Maluti","Magisterial District","Magisterial District",NA,NA
42,211,"ZAF","South Africa",1,"Eastern Cape",42,"Mdantsane","Magisterial District","Magisterial District",NA,NA
43,211,"ZAF","South Africa",1,"Eastern Cape",43,"Middelburg","Magisterial District","Magisterial District",NA,NA
44,211,"ZAF","South Africa",1,"Eastern Cape",44,"Middledrift","Magisterial District","Magisterial District",NA,NA
45,211,"ZAF","South Africa",1,"Eastern Cape",45,"Molteno","Magisterial District","Magisterial District",NA,NA
46,211,"ZAF","South Africa",1,"Eastern Cape",46,"Mpofu","Magisterial District","Magisterial District",NA,NA
47,211,"ZAF","South Africa",1,"Eastern Cape",47,"Mqanduli","Magisterial District","Magisterial District",NA,NA
48,211,"ZAF","South Africa",1,"Eastern Cape",48,"Mt  Fletcher","Magisterial District","Magisterial District",NA,NA
49,211,"ZAF","South Africa",1,"Eastern Cape",49,"Mt Ayliff","Magisterial District","Magisterial District",NA,NA
50,211,"ZAF","South Africa",1,"Eastern Cape",50,"Mt Frere","Magisterial District","Magisterial District",NA,NA
51,211,"ZAF","South Africa",1,"Eastern Cape",51,"Ngqueleni","Magisterial District","Magisterial District",NA,NA
52,211,"ZAF","South Africa",1,"Eastern Cape",52,"Nqamakwe","Magisterial District","Magisterial District",NA,NA
53,211,"ZAF","South Africa",1,"Eastern Cape",53,"Ntabethemba","Magisterial District","Magisterial District",NA,NA
54,211,"ZAF","South Africa",1,"Eastern Cape",54,"Pearston","Magisterial District","Magisterial District",NA,NA
55,211,"ZAF","South Africa",1,"Eastern Cape",55,"Peddie","Magisterial District","Magisterial District",NA,NA
56,211,"ZAF","South Africa",1,"Eastern Cape",56,"Port Elizabeth","Magisterial District","Magisterial District",NA,NA
57,211,"ZAF","South Africa",1,"Eastern Cape",57,"Port St Johns","Magisterial District","Magisterial District",NA,NA
58,211,"ZAF","South Africa",1,"Eastern Cape",58,"Queenstown","Magisterial District","Magisterial District",NA,NA
59,211,"ZAF","South Africa",1,"Eastern Cape",59,"Qumbu","Magisterial District","Magisterial District",NA,NA
60,211,"ZAF","South Africa",1,"Eastern Cape",60,"Somerset East","Magisterial District","Magisterial District",NA,NA
61,211,"ZAF","South Africa",1,"Eastern Cape",61,"Sterkspruit","Magisterial District","Magisterial District",NA,NA
62,211,"ZAF","South Africa",1,"Eastern Cape",62,"Sterkstroom","Magisterial District","Magisterial District",NA,NA
63,211,"ZAF","South Africa",1,"Eastern Cape",63,"Steynsburg","Magisterial District","Magisterial District",NA,NA
64,211,"ZAF","South Africa",1,"Eastern Cape",64,"Steytlerville","Magisterial District","Magisterial District",NA,NA
65,211,"ZAF","South Africa",1,"Eastern Cape",65,"Stutterheim","Magisterial District","Magisterial District",NA,NA
66,211,"ZAF","South Africa",1,"Eastern Cape",66,"Tabankulu","Magisterial District","Magisterial District",NA,NA
67,211,"ZAF","South Africa",1,"Eastern Cape",67,"Tarka","Magisterial District","Magisterial District",NA,NA
68,211,"ZAF","South Africa",1,"Eastern Cape",68,"Tsolo","Magisterial District","Magisterial District",NA,NA
69,211,"ZAF","South Africa",1,"Eastern Cape",69,"Tsomo","Magisterial District","Magisterial District",NA,NA
70,211,"ZAF","South Africa",1,"Eastern Cape",70,"Uitenhage","Magisterial District","Magisterial District",NA,NA
71,211,"ZAF","South Africa",1,"Eastern Cape",71,"Umtata","Magisterial District","Magisterial District",NA,NA
72,211,"ZAF","South Africa",1,"Eastern Cape",72,"Venterstad","Magisterial District","Magisterial District",NA,NA
73,211,"ZAF","South Africa",1,"Eastern Cape",73,"Victoria East","Magisterial District","Magisterial District",NA,NA
74,211,"ZAF","South Africa",1,"Eastern Cape",74,"Willowmore","Magisterial District","Magisterial District",NA,NA
75,211,"ZAF","South Africa",1,"Eastern Cape",75,"Willowvale","Magisterial District","Magisterial District",NA,NA
76,211,"ZAF","South Africa",1,"Eastern Cape",76,"Wodehouse","Magisterial District","Magisterial District",NA,NA
77,211,"ZAF","South Africa",1,"Eastern Cape",77,"Zwelitsha","Magisterial District","Magisterial District",NA,NA
78,211,"ZAF","South Africa",2,"Free State",78,"Bethlehem","Magisterial District","Magisterial District",NA,NA
79,211,"ZAF","South Africa",2,"Free State",79,"Bethulie","Magisterial District","Magisterial District",NA,NA
80,211,"ZAF","South Africa",2,"Free State",80,"Bloemfontein","Magisterial District","Magisterial District",NA,NA
81,211,"ZAF","South Africa",2,"Free State",81,"Boshof","Magisterial District","Magisterial District",NA,NA
82,211,"ZAF","South Africa",2,"Free State",82,"Bothaville","Magisterial District","Magisterial District",NA,NA
83,211,"ZAF","South Africa",2,"Free State",83,"Botshabelo","Magisterial District","Magisterial District",NA,NA
84,211,"ZAF","South Africa",2,"Free State",84,"Brandfort","Magisterial District","Magisterial District",NA,NA
85,211,"ZAF","South Africa",2,"Free State",85,"Bultfontein","Magisterial District","Magisterial District",NA,NA
86,211,"ZAF","South Africa",2,"Free State",86,"Clocolan","Magisterial District","Magisterial District",NA,NA
87,211,"ZAF","South Africa",2,"Free State",87,"Dewetsdorp","Magisterial District","Magisterial District",NA,NA
88,211,"ZAF","South Africa",2,"Free State",88,"Edenburg","Magisterial District","Magisterial District",NA,NA
89,211,"ZAF","South Africa",2,"Free State",89,"Excelsior","Magisterial District","Magisterial District",NA,NA
90,211,"ZAF","South Africa",2,"Free State",90,"Fauresmith","Magisterial District","Magisterial District",NA,NA
91,211,"ZAF","South Africa",2,"Free State",91,"Ficksburg","Magisterial District","Magisterial District",NA,NA
92,211,"ZAF","South Africa",2,"Free State",92,"Fouriesburg","Magisterial District","Magisterial District",NA,NA
93,211,"ZAF","South Africa",2,"Free State",93,"Frankfort","Magisterial District","Magisterial District",NA,NA
94,211,"ZAF","South Africa",2,"Free State",94,"Harrismith","Magisterial District","Magisterial District",NA,NA
95,211,"ZAF","South Africa",2,"Free State",95,"Heilbron","Magisterial District","Magisterial District",NA,NA
96,211,"ZAF","South Africa",2,"Free State",96,"Hennenman","Magisterial District","Magisterial District",NA,NA
97,211,"ZAF","South Africa",2,"Free State",97,"Hoopstad","Magisterial District","Magisterial District",NA,NA
98,211,"ZAF","South Africa",2,"Free State",98,"Jacobsdal","Magisterial District","Magisterial District",NA,NA
99,211,"ZAF","South Africa",2,"Free State",99,"Jagersfontein","Magisterial District","Magisterial District",NA,NA
100,211,"ZAF","South Africa",2,"Free State",100,"Koffiefontein","Magisterial District","Magisterial District",NA,NA
101,211,"ZAF","South Africa",2,"Free State",101,"Koppies","Magisterial District","Magisterial District",NA,NA
102,211,"ZAF","South Africa",2,"Free State",102,"Kroonstad","Magisterial District","Magisterial District",NA,NA
103,211,"ZAF","South Africa",2,"Free State",103,"Ladybrand","Magisterial District","Magisterial District",NA,NA
104,211,"ZAF","South Africa",2,"Free State",104,"Lindley","Magisterial District","Magisterial District",NA,NA
105,211,"ZAF","South Africa",2,"Free State",105,"Marquard","Magisterial District","Magisterial District",NA,NA
106,211,"ZAF","South Africa",2,"Free State",106,"Odendaalsrus","Magisterial District","Magisterial District",NA,NA
107,211,"ZAF","South Africa",2,"Free State",107,"Parys","Magisterial District","Magisterial District",NA,NA
108,211,"ZAF","South Africa",2,"Free State",108,"Petrusburg","Magisterial District","Magisterial District",NA,NA
109,211,"ZAF","South Africa",2,"Free State",109,"Philippolis","Magisterial District","Magisterial District",NA,NA
110,211,"ZAF","South Africa",2,"Free State",110,"Reddersburg","Magisterial District","Magisterial District",NA,NA
111,211,"ZAF","South Africa",2,"Free State",111,"Reitz","Magisterial District","Magisterial District",NA,NA
112,211,"ZAF","South Africa",2,"Free State",112,"Rouxville","Magisterial District","Magisterial District",NA,NA
113,211,"ZAF","South Africa",2,"Free State",113,"Sasolburg","Magisterial District","Magisterial District",NA,NA
114,211,"ZAF","South Africa",2,"Free State",114,"Senekal","Magisterial District","Magisterial District",NA,NA
115,211,"ZAF","South Africa",2,"Free State",115,"Smithfield","Magisterial District","Magisterial District",NA,NA
116,211,"ZAF","South Africa",2,"Free State",116,"Thaba'Nchu","Magisterial District","Magisterial District",NA,NA
117,211,"ZAF","South Africa",2,"Free State",117,"Theunissen","Magisterial District","Magisterial District",NA,NA
118,211,"ZAF","South Africa",2,"Free State",118,"Trompsburg","Magisterial District","Magisterial District",NA,NA
119,211,"ZAF","South Africa",2,"Free State",119,"Ventersburg","Magisterial District","Magisterial District",NA,NA
120,211,"ZAF","South Africa",2,"Free State",120,"Viljoenskroon","Magisterial District","Magisterial District",NA,NA
